"Distance","FCI","2POS","3POS (Partial)","3POS"
0.,-3.63006801155717,-3.63006799,-3.63006798,-3.63006791
.10,-3.34360504279235,-3.34360536,-3.34360669,-3.34360527
.20,-3.07852812197114,-3.07852834,-3.07852812,-3.07852812
.30,-2.84511264119962,-2.84515626,-2.84513350,-2.84511264
.40,-2.86377275460545,-2.86444175,-2.86377277,-2.86377276
.50,-2.94804754385596,-3.04563209,-2.94824119,-2.94804841
.60,-3.11435550779251,-3.36930281,-3.12498548,-3.11435553
.70,-3.36065686991008,-3.73669724,-3.38099226,-3.36065684
.80,-3.65219695383286,-4.12736736,-3.66734470,-3.65219695
.90,-3.96507197098760,-4.53158294,-3.97299052,-3.96507204
1.00,-4.28868591097238,-4.94369496,-4.29126815,-4.28868590
1.10,-4.61835212587840,-5.36047287,-4.61848032,-4.61835212
1.20,-4.95177964656606,-5.78010970,-4.95177965,-4.95177963
1.30,-5.28772834590085,-6.20158754,-5.28772835,-5.28772835
1.40,-5.62546708464699,-6.62431215,-5.62546708,-5.62546711
1.50,-5.96453415003533,-7.04792033,-5.96453415,-5.96453412
1.60,-6.30462146577795,-7.47217965,-6.30462147,-6.30462146
1.70,-6.64551412863795,-7.89693487,-6.64551413,-6.64551401
1.80,-6.98705669945367,-8.32207826,-6.98705675,-6.98705674
1.90,-7.32913334100032,-8.74753242,-7.32913334,-7.32913381
2.00,-7.67165555203487,-9.17324009,-7.67165556,-7.67165551
