"Distance","FCI","Hartree-Fock","MP2","CCSD(T)","2POS","3POS (Partial)","3POS"
.40,-1.02678989331615,-1.00736425064251,-1.02257089920978,-1.02678917295334,-1.02725869,-1.026791706399110,-1.026791817883050
.50,-1.96019364489392,-1.92956424845201,-1.95153906215351,-1.9601937323251,-1.96122366,-1.960197463546850,-1.960194544312600
.60,-2.16756054413405,-2.12138675587022,-2.15179403897263,-2.16756720510526,-2.16949507,-2.167560966164400,-2.167562110588770
.70,-2.16638744863476,-2.09854593699772,-2.13974401216798,-2.16643039585347,-2.16930375,-2.166387733098590,-2.166387833603200
.80,-2.10260848095542,-2.00386748312401,-2.05950487476861,-2.10283957207472,-2.10673736,-2.102608905825800,-2.102608909416980
.90,-2.02907049359196,-1.88779030450421,-1.96260624842517,-2.03012221138271,-2.03459938,-2.029070906398620,-2.029070682922280
1.00,-1.96756030992037,-1.772203101933,-1.87177664385331,-1.97136479477563,-1.97386381,-1.967562600429800,-1.967567506794350
1.10,-1.92443063813673,-1.66686716144384,-1.79744583835782,-1.93478324501374,-1.93044647,-1.924431603970470,-1.924433152446560
1.20,-1.89778064598987,-1.57561647670187,-1.7438766287821,-1.91791431390611,-1.90277824,-1.897785174460880,-1.897781375723600
1.30,-1.88271263743185,-1.49914562503486,-1.71184209373119,-1.91176959411756,-1.88626766,-1.882714121519600,-1.882712840762180
1.40,-1.8746515824859,-1.43645853998968,-1.70001915573397,-1.90882288127758,-1.87686218,-1.874651968515980,-1.874651641773800
1.50,-1.87047273642094,-1.38582411481183,-1.70592177091503,-1.90553976475747,-1.87171475,-1.870472825398750,-1.870472744049000
1.60,-1.86834970768512,-1.34536507707148,-1.72648626402054,-1.90087149114804,-1.86866252,-1.868349725728900,-1.868349674579310
1.70,-1.86729137240138,-1.31331178622151,-1.75841519177633,-1.89498578435253,-1.86760264,-1.867462735720600,-1.867291369049560
1.80,-1.86677548886831,-1.28806354733096,-1.79848738887946,-1.88860055682654,-1.86699847,-1.866665568965500,-1.866775481998520
1.90,-1.86653043812955,-1.26820043549435,-1.84389583856085,-1.88254301434892,-1.86682274,-1.866541194332650,-1.866530437500120
2.00,-1.86641714383577,-1.25250100800397,-1.89248923292504,-1.87743624566884,-1.86642726,-1.866418597313170,-1.866417162702520
2.10,-1.86636612243666,-1.23995852188435,-1.94282743183715,-1.87351233777097,-1.86637975,-1.866366424625650,-1.866366126418650
2.20,-1.86634370749916,-1.22977927665542,-1.99403893104278,-1.87075730923478,-1.86635064,-1.866348072082970,-1.866343704132020
